Nr	Edycja	Dyst1	Dyst2	Czas1	Czas2	Dyst3	Dyst4	Miejsce	IUcz	Punkty	
------------------------------------------------------------------------
22	40 Koscierzyna	173	122	 8:57	11:32	200	3377	46	299	47/60	(14)
21	39 Gdansk-Osowa	207	141	10:23	11:56	1160	1780	14	282	57/60 (17)
20	38 Reda	184	111	  9:53	12:04	285	3980	41	302	38/60 (11)
19	37 Bytonia	193	131	  9:48	11:36	720	830	25	296	53/60 (15)
18	36 Sierakowice	207	137	10:00	11:53	668	2513	10	291	48/60 (13)
17	35 Leczyce	187	126	10:07	11:53	574	775	9 	212	49/60 (13)
16	34 Kobylnica	180	126	  9:26	11:37	315	2510	7	261	48/60 (14)
15	33 Trabki Wielkie	189	123	  9:34	11:38	400	761	19	237	55/60 (16)
14	32 Przodkowo	215	140	10:11	11:44	400	3620	22	289	56/60 (16)
13	30 Rytel	219	152	10:03	11:59	610	5545	16	202	51/60 (16)
12	28 Koscierzyna	238	164	10:12	11:23	965	4686	6	202	60/60 (20)
11	27 Bytow	203	138	  9:53	12:01	1176	1750	4	174	54/60 (16)
10	26 Zblewo	224	154	  9:41	11:54	293	3375	5	187	59/60 (19)
9	25 Elblag	210	143	  9:36	11:50	640	1510	3	133	53/60 (16)
8	24 Puck	176	113	  8:24	11:28	115	1706	7	177	43/60 (13)
7	23 Drzewina	177	115	  8:42	11:29	117	530	5	155	14 / 20
6	22 Kwidzyn	208	143	  9:37	11:41	80	1700	17	203	16 / 20
5	21 Lebork	171	118	  8:18	10:35	123	800	2	207	15 / 20
4	20 Lebork	182	125	  9:16	11:10	351	3400	5	130	178 / 200
3	19 Czarna Woda	194	135	  9:06	11:41	241	975	2	96	8 / 12
2	18 Wejherowo	192	120	  8:45	11:27	330	4910	4	39	16 / 18
1	17 Kartuzy	197	141	  9:06	11:18	232	430	1	30	nd
